乌兰浩特,wulanhaote1316
八宿,basu120403
磐安,panan2028
安宁,anning2150
达拉特旗,dalateqi2964
伊宁市,yining2058
铜陵,tongling472
永康,yongkang189
普宁,puning1523
岱山,daishan999
兴安县,xingan722
库车,kuche1345
仁化,renhua959
鄯善,shanshan2502
桓仁,huanren2144
闽侯,minhou2666
海门,haimen1935
南江,nanjiang3109
内江,neijiang823
广汉,guanghan1349
德化,dehua2659
昭苏,zhaosu2508
仪征,yizheng562
嘉义县,chiayicounty3182
韩城,hancheng120420
云浮,yunfu836
邹城,zoucheng1359
札达,zhada2454
礼泉,liquan2759
灵石,lingshi3011
靖边,jingbian2745
石狮,shishi245
资阳,ziyang918
林州,linzhou1890
商城,shangcheng2260
濮阳,puyang581
罗田,luotian2717
丰宁,fengning568
吉县,jixian3038
苗栗,miaoli3199
东源,dongyuan2929
陵川,lingchuan3004
丰顺,fengshun2934
杜尔伯特,duerbote2231
黄陵,huangling2734
宿州,suzhou672
乌海,wuhai677
和平,heping2948
漳浦,zhangpu2670
新兴,xinxing2919
绥化,suihua856
陇南,longnan1491
广南,guangnan2198
哈巴河,habahe2480
东兴,dongxing964
井陉,jingxing2532
淮北,huaibei657
兴隆,xinlong2528
青铜峡,qingtongxia2330
利川,lichuan984
沽源,guyuan2591
洪江,hongjiang2825
石阡,shiqian2351
马尔康,maerkang913
庐江,lujiang2602
融水,rongshui3047
靖西,jingxi967
宜章,yizhang2861
通道,tongdao992
犍为,jianwei3118
牙克石,yakeshi887
庄河,zhuanghe2148
阳西,yangxi2933
灵川,lingchuan3064
临朐,linqu2907
乐业,leye968
宁城,ningcheng1736
滕州,tengzhou1371
资兴,zixing1570
盱眙,xuyi2100
庆阳,qingyang834
涿鹿,zhuolu2585
乃东,naidong2441
克孜勒苏,kezilesukeerkezi2511
东台,dongtai916
长泰,changtai1900
鹤壁,hebi595
白城,baicheng870
禄丰,lufeng2188
宁蒗,ninglang2169
霍山,huoshan2609
汝城,rucheng2852
盖州,gaizhou1941
鲁山,lushan2270
平江,pingjiang2848
塔什库尔干,tashikuergan2481
湘潭县,xiangtanxian2858
周至,zhouzhi2781
桃源,taoyuan991
长阳,changyang2690
凤城,fengcheng1762
禹州,yuzhou2301
安龙,anlong2333
安溪,anxi2647
华安,huaan2677
乐昌,lechang957
定西,dingxi830
天门,tianmen987
盘州,panxian2369
山丹,shandan120488
蒙自,mengzi1201
永修,yongxiu1848
三河,sanhe671
丹阳,danyang1038
巍山,weishan2211
丘北,qiubei2175
德庆,deqing120097
三门,sanmen1945
兰陵,lanling2873
南安,nanan1521
甘孜县,ganzixian3156
诸城,zhucheng2077
松阳,songyang2250
门源,menyuan1446317
霸州,bazhou1834
芒市,mangshi2199
宁都,ningdou2379
九龙,jiulong1446247
贡嘎,gongga120408
扎兰屯,zhalantun2972
兴国,xingguo2387
贵德,guide2636
资源,ziyuan980
塔城,tacheng924
开化,kaihua1001
云霄,yunxiao2669
新县,xinxian2322
遵化,zunhua1181
信丰,xinfeng2380
凭祥,pingxiang840
齐河,qihe2885
金堂,jintang3131
连南,liannan2941
岚皋,langao2752
日土,ritu120147
上杭,shanghang1158
华蓥,huaying3103
永安,yongan288
莱州,laizhou1161
仙游,xianyou2654
米易,miyi3097
白银,baiyin828
于都,yudou2419
内乡,neixiang2295
蓝田,lantian2755
鹤岗,hegang811
绥芬河,suifenhe855
靖江,jingjiang1554
晴隆,qinglong120454
新安,xinan2315
洱源,eryuan2180
麻城,macheng1833
东港,donggang1764
柞水,zhashui2766
新化,xinhua2856
西乌旗,xiwuzhumuqinqi2960
河口,hekou2201
涿州,zhuozhou848
四会,sihui960
什邡,shenfang3154
石门,shimen143838
噶尔,geer120143
新宁,xinning2857
永城,yongcheng1578
邳州,pizhou1560
龙井,longjing2465
京山,jingshan2703
龙山,longshan2842
阳山,yangshan1142
双鸭山,shuangyashan854
石台,shitai2624
定州,dingzhou2562
阿拉善左旗,alashanzuoqi143886
新密,xinmi1163
徐闻,xuwen2923
高邮,gaoyou2075
靖安,jingan2396
赤城,chicheng2544
寿县,shouxian2628
集安,jian2467
沭阳,shuyang3079
平度,pingdu1565
简阳,jianyang3122
宁国,ningguo1167
永济,yongji1772
琼结,qiongjie2439
如东,rudong997
乐东,ledong981
寿光,shouguang1089
宁强,ningqiang2731
应城,yingcheng1145
龙游,longyou812
新沂,xinyi1064
鄂州,ezhou858
会泽,huize2212
互助,huchu2637
铁力,tieli2230
淮阳,huaiyang2306
上林,shanglin120117
鄢陵,yanling2278
芒康,mangkang2452
剑阁,jiange3115
灵宝,lingbao1162
秭归,zigui2726
宁武,ningwu3030
容县,rongxian3044
瓜州,guazhou2807
蒲江,bojiang3136
洪雅,hongya3096
萨嘎,saga120381
高安,gaoan1165
威宁,weining2337
左贡,zuogong120405
桐城,tongcheng1847
神木,shenmu2762
玉山,yushan1013
巴里坤,balikunhasake2494
桂平,guiping418
固安,guan2586
盂县,yuxian3022
凤阳,fengyang2626
泰兴,taixing1172
莱阳,laiyang1838
永春,yongchun2661
平武,pingwu3134
孝义,xiaoyi1144
微山,weishan2869
乌鲁木齐县,wulumujixian2489
大冶,daye1543
林甸,lindian2219
嵩县,songxian1445115
昌江,changjiang2456
浑源,hunyuan3026
南部县,nabu3104
镇宁,zhenning2356
招远,zhaoyuan1352
高密,gaomi1837
安福,anfu2376
海安,haian1548
藤县,tengxian143827
小金,xiaojin3110
水城,shuicheng143825
勐海,menghai2207
肥东,feidong2615
平和,pinghe2684
临江,linjiang2460
泗洪,sihong143833
共和,gonghe2644
万源,wanyuan3094
思南,sinan2355
江口,jiangkou2334
七台河,qitaihe1179
全州,quanzhou3040
易县,yixian2557
玉环,yuhuan1006
潜江,qianjiang985
抚松,fusong2479
永登,yongdeng2793
长丰,changfeng2599
辽源,liaoyuan872
多伦,duolun2967
五台,wutai1446115
阳新,yangxin2698
射阳,sheyang998
海丰,haifeng2946
宾县,binxian2223
元谋,yuanmou2197
织金,zhijin2362
武宁,wuning2432
临高,lingao2458
海城,haicheng607
澄迈,chengmai2457
蛟河,jiaohe2471
金秀,jinxiu1445186
大英,daying1395
洪洞,hongdong3015
钟祥,zhongxiang863
洋县,yangxian2753
定安,dingan2021
虎林,hulin2224
阳城,yangcheng2076
永兴,yongxing143832
独山,dushan2354
南漳,nanzhang2722
阳春,yangchun961
湘乡,xiangxiang1850
惠水,huishui2372
天长,tianchang1739
岑溪,cenxi3056
河津,hejin3012
广德,guangde2631
康平,kangping2135
揭西,jiexi2930
南昌县,nanchang2429
龙南,longnan2424
迁安,qianan1397
当阳,dangyang2699
高州,gaozhou337
蒙阴,mengyin2870
邹平,zouping2911
玛多,maduo120480
芷江,zhijiang994
沂源,yiyuan1134
青龙,qinglong2540
石城,shicheng2415
龙川,longchuan2947
鄱阳,boyang2385
嘉荫,jiayin2228
怀集,huaiji955
罗源,luoyuan2663
安丘,anqiu2867
武胜,wusheng3105
富平,fuping2771
沙河市,shahe2556
滦县,luanxian2573
黄梅,huangmei2689
樟树,zhangshu1160
建湖,jianhu3077
红安,hongan2723
习水,xishui2343
宁远,ningyuan2847
紫金,zijin2951
太谷,taigu2997
蒙山,mengshan3057
合浦,hepu965
北镇,beizhen2083
宜都,yidou2705
沛县,peixian3075
祁县,qixian3039
石泉,shiquan2765
聂拉木,nielamu2445
雷州,leizhou2936
若羌,ruoqiang120547
古田,gutian2674
上饶县,shangraoxian2408
龙里,longli2357
扎囊,zhanang2451
邵武,shaowu172
梁山,liangshan2899
澧县,lixian143837
龙海,longhai2660
凌海,linghai2139
阜宁,funing3081
瑞昌,ruichang2397
景泰,jingtai2802
伊金霍洛旗,yijinhuoluoqi2966
蓬安,pengan3119
贡山,gongshan1446282
罗定,luoding1356
泸西,luxi2024
醴陵,liling2837
东平,dongping2894
新源,xinyuan2500
墨江,mojiang2152
奎屯,kuitun1169
天台,tiantai1445965
平邑,pingyi1875
连山,lianshan2944
固始,gushi2291
西乡,xixiang2743
嘉鱼,jiayu2700
邢台县,xingtai2531
通江,tongjiang3167
泗阳,siyang1097
铅山,qianshan2389
三原,sanyuan2750
本溪县,benxixian1446026
金昌,jinchang832
大竹,dazhu3138
农安,nongan2472
莒县,juxian2888
信宜,xinyi2922
丰城,fengcheng1839
靖州,jingzhou2832
仙桃,xiantao775
封开,fengkai2931
建始,jianshi2696
贺兰,helan2119
安岳,anyue3092
淅川,xichuan2307
攸县,youxian2862
炎陵,yanling2860
商南,shangnan2756
尼玛,nima120383
黄平,huangping120442
沅陵,yuanling120103
达茂旗,daerhanmaominganlianheqi2961
宣汉,xuanhan3129
安多,anduo120385
苍溪,cangxi3111
荔浦,lipu2020
亚东,yadong120090
大埔,dabu2920
宜阳,yiyang2289
武安,wuan1566
博乐,bole922
马祖,matsu1445356
通海,tonghai2208
泗水,sishui1138
香河,xianghe2526
南涧,nanjian2163
崇阳,chongyang2695
鹤山,heshan1182
广饶,guangrao1769
祁门,qimen2610
久治,jiuzhi1446312
渠县,juxian3141
昌吉市,changji2503
个旧,gejiu925
大方,dafang2348
长汀,changtingxian1445095
英山,yingshan2709
武定,wuding2153
法库,faku2131
仁怀,renhuai1905
迁西,qianxi2530
鹿邑,luyi2276
耒阳,leiyang1849
云林县,yunlin3197
饶平,raoping2932
蒲城,pucheng2738
蒙城,mengcheng1872
桐柏,tongbai2281
和顺,heshun120422
南和,nanhe2590
枣阳,zaoyang2718
宾阳,binyang3048
且末,qiemo1348
石屏,shiping2191
颍上,yingshang2634
象州,xiangzhou3060
嘉祥,jiaxiang2874
平定,pingding2057
轮台,luntai1569
闽清,minqing2668
玉屏,yuping2350
灵山,lingshan969
单县,shanxian2897
谷城,gucheng2719
泾阳,jingyang2749
房县,fangxian2710
绵竹,mianzhu1446217
舒城,shucheng2630
和静,hejing2485
建宁,jianning2648
开远,kaiyuan1318
清镇,qingzhen1782
莒南,junan2104
五莲,wulian2084
修水,xiushui2399
开阳,kaiyang2342
安化,anhua2811
咸丰,xianfeng2720
贵定,guiding120451
巴东,badong2688
郓城,yuncheng2898
平乐,pingle3065
白沙,baisha2455
江永,jiangyong2831
福泉,fuquan2363
射洪,shehong1944
沙县,shaxian2664
尤溪,youxi2667
唐河,tanghe2274
三台,santai3148
陆良,luliang1140
岐山,qishan2746
留坝,liuba2761
廉江,lianjiang2939
绥德,suide2769
交城,jiaocheng3033
宝应,baoying3073
德保,debao3061
泸溪,luxi2843
兴仁,xingren2340
凤翔,fengxiang2758
木里,muli3100
壶关,huguan1446117
建昌,jianchang2129
灵武,lingwu2323
屏南,pingnan2649
武平,wuping2682
南召,nanzhao1446078
沧源,cangyuan2161
营山,yingshan3149
邻水,linshui3147
崇义,chongyi2391
高碑店,gaobeidian1124
肥城,feicheng1387
汉寿,hanshou2822
屯昌,tunchang845
平塘,pingtang2335
密山,mishan1508
汉源,hanyuan3090
广宁,guangning2943
陆丰,lufeng2952
盐边,yanbian3139
梅河口,meihekou2468
弋阳,yiyang2406
贞丰,zhenfeng120455
大余,dayu2395
土默特左旗,tumotezuoqi2963
盐源,yanyuan3142
施秉,shibing2352
彬县,binxian2740
应县,yingxian3006
平阴,pingyin2879
费县,feixian2895
城固,chenggu143839
无为,wuwei2618
临县,linxian2998
安陆,anlu2685
古丈,guzhang2821
和县,hexian2598
邵东,shaodong1365
定南,dingnan2401
汶上,wenshang2872
北流,beiliu3045
南陵,nanling1445976
三都,sandou2349
安远,anyuan2381
横县,hengxian966
拜城,baicheng2490
始兴,shixing2945
兴宁,xingning2918
澜沧,lancang2172
夏县,xiaxian3025
黔西,qianxi2339
旬邑,xunyi143857
乌拉特前旗,wulateqianqi2977
桐梓,tongzi2370
唐县,tangxian2574
石首,shishou2691
嵩明,songming2202
莱西,laixi1445084
盈江,yingjiang2182
永靖,yongjing2797
福安,fuan1446193
宝兴,baoxin3095
卓尼,zhuoni1446168
永顺,yongshun1446211
安阳县,anyangxian2252
绥阳,suiyang2361
仁寿,renshou2336
宜丰,yifeng143843
台江,taijiang120447
太白,taibai2773
吴川,wuchuan1898
进贤,jinxian2402
天全,tianquan2056
冕宁,mianning3091
迭部,diebu1446184
监利,jianli2693
金湖,jinhu368
大荔,dali2748
加查,jiacha120409
蕲春,qichun2725
建瓯,jianou1157
府谷,fugu2767
苍梧,cangwu3052
汾阳,fenyang2053
剑河,jianhe120446
铜鼓,tonggu2425
桑植,sangzhi2851
将乐,jiangle143875
琼中,qiongzhong844
瓮安,wengan120450
泾源,jingyuan2329
保康,baokang143871
项城,xiangcheng2300
武冈,wugang1940
寻甸,dundian2164
凤山,fengshan2022
岳池,yueche3151
安国,anguo2514
和龙,helong1446012
镇平,zhenping2319
通城,tongcheng2704
玉门,yumen2800
汝阳,ruyang2321
新泰,xintai2886
会理,huili3106